('PIPEA_DSL',			'0x70000', '0x180000')
('VTOTAL_A',			'0x6000C', '0x180000')
('VBLANK_A',			'0x60010', '0x180000')
('VSYNC_A',			'0x60014', '0x180000')
('PIPESRCA',			'0x6001C', '0x180000')
('BCLRPAT_A',			'0x60020', '0x180000')
('VSYNCSHIFT_A',		'0x60028', '0x180000')

('TRANSA_DATA_M1',		'0x60030', '0x180000')
('TRANSA_DATA_N1',		'0x60034', '0x180000')
('TRANSA_DATA_M2',		'0x60038', '0x180000')
('TRANSA_DATA_N2',		'0x6003C', '0x180000')
('TRANSA_LINK_M1',		'0x60040', '0x180000')
('TRANSA_LINK_N1',		'0x60044', '0x180000')
('TRANSA_LINK_M2',		'0x60048', '0x180000')
('TRANSA_LINK_N2',		'0x6004C', '0x180000')

('CRC_CTRL_RED_A',		'0x60050', '0x180000')
('CRC_CTRL_GREEN_A',		'0x60054', '0x180000')
('CRC_CTRL_BLUE_A',		'0x60058', '0x180000')
('CRC_CTRL_ALPHA_A',		'0x6005C', '0x180000')
('CRC_CTRL_RESIDUE2_A',		'0x60070', '0x180000')
('CRC_RES_RED_A',		'0x60060', '0x180000')
('CRC_RES_GREEN_A',		'0x60064', '0x180000')
('CRC_RES_BLUE_A',		'0x60068', '0x180000')
('CRC_RES_ALPHA_A',		'0x6006C', '0x180000')
('CRC_RES_RESIDUE2_A',		'0x60080', '0x180000')

('PSRCTLA',			'0x60090', '0x180000')
('PSRSTATA',			'0x60094', '0x180000')
('PSRCRC1A',			'0x60098', '0x180000')
('PSRCRC2A',			'0x6009C', '0x180000')
('VSCSDPA',			'0x600A0', '0x180000')

('PIPEA_WGCC_C01_C00',		'0x600B0', '0x180000')
('PIPEA_WGCC_C02',		'0x600B4', '0x180000')
('PIPEA_WGCC_C11_C10',		'0x600B8', '0x180000')
('PIPEA_WGCC_C12',		'0x600BC', '0x180000')
('PIPEA_WGCC_C21_C20',		'0x600C0', '0x180000')
('PIPEA_WGCC_C22',		'0x600C4', '0x180000')

('VIDEO_DIP_CTL_A',		'0x60200', '0x180000')
('VIDEO_DIP_DATA_A',		'0x60208', '0x180000')
('VIDEO_DIP_GDCP_PAYLOAD_A',	'0x60210', '0x180000')

('PIPEA_CGM_DEGAMMA',		'0x66000', '0x180000')
('PIPEA_CGM_GAMMA',		'0x67000', '0x180000')
('PIPEA_CGM_CSC_COEFF01',	'0x67900', '0x180000')
('PIPEA_CGM_CSC_COEFF23',	'0x67904', '0x180000')
('PIPEA_CGM_CSC_COEFF45',	'0x67908', '0x180000')
('PIPEA_CGM_CSC_COEFF67',	'0x6790C', '0x180000')
('PIPEA_CGM_CSC_COEFF8',	'0x67910', '0x180000')
('PIPEA_CGM_CONTROL',		'0x67A00', '0x180000')

('PIPEA_PP_STATUS',		'0x61200', '0x180000')
('PIPEA_PP_CONTROL',		'0x61204', '0x180000')
('PIPEA_PP_ON_DELAYS',		'0x61208', '0x180000')
('PIPEA_PP_OFF_DELAYS',		'0x6120C', '0x180000')
('PIPEA_PP_DIVISOR',		'0x61210', '0x180000')

('PIPEA_BLC_PWM_CLT2',		'0x61250', '0x180000')
('PIPEA_BLC_PWM_CTL',		'0x61254', '0x180000')
('PIPEA_BLM_HIST_CTL',		'0x61260', '0x180000')
('PIPEA_IMG_ENH_BIN_DATA',	'0x61264', '0x180000')
('PIPEA_HIST_THRESH_GUARD',	'0x61268', '0x180000')

('AUD_CONFIG_A',		'0x62000', '0x180000')
('AUD_MISC_CTRL_A',		'0x62010', '0x180000')
('AUD_CTS_ENABLE_A',		'0x62028', '0x180000')
('AUD_HDMIW_HDMIEDID_A',	'0x62050', '0x180000')
('AUD_HDMIW_INFOFR_A',		'0x62054', '0x180000')
('AUD_OUT_DIG_CNVT_A',		'0x62080', '0x180000')
('AUD_OUT_STR_DESC_A',		'0x62084', '0x180000')
('AUD_CNTL_ST_A',		'0x620B4', '0x180000')
('AUD_OUT_STR_DESC_A_DBG',	'0x62F08', '0x180000')
('AUD_OUT_DIG_CNVTA_DBG',	'0x62F40', '0x180000')

('STREAM_A_LPE_AUD_CONFIG',		'0x65000', '0x180000')
('STREAM_A_LPE_AUD_CH_STATUS_0',	'0x65008', '0x180000')
('STREAM_A_LPE_AUD_CH_STATUS_1',	'0x6500C', '0x180000')
('STREAM_A_LPE_AUD_HDMI_CTS_DP_MAUD',	'0x65010', '0x180000')
('STREAM_A_LPE_AUD_HDMI_N_DP_NAUD',	'0x65014', '0x180000')
('STREAM_A_LPE_AUD_BUFFER_CONFIG',	'0x65020', '0x180000')
('STREAM_A_LPE_AUD_BUF_CH_SWP',		'0x65024', '0x180000')
('STREAM_A_LPE_AUD_BUF_A_ADDR',		'0x65040', '0x180000')
('STREAM_A_LPE_AUD_BUF_A_LENGTH',	'0x65044', '0x180000')
('STREAM_A_LPE_AUD_BUF_B_ADDR',		'0x65048', '0x180000')
('STREAM_A_LPE_AUD_BUF_B_LENGTH',	'0x6504C', '0x180000')
('STREAM_A_LPE_AUD_BUF_C_ADDR',		'0x65050', '0x180000')
('STREAM_A_LPE_AUD_BUF_C_LENGTH',	'0x65054', '0x180000')
('STREAM_A_LPE_AUD_BUF_D_ADDR',		'0x65058', '0x180000')
('STREAM_A_LPE_AUD_BUF_D_LENGTH',	'0x6505C', '0x180000')
('STREAM_A_LPE_AUD_CNTL_ST',		'0x65060', '0x180000')
('STREAM_A_LPE_AUD_HDMI_STATUS',	'0x65064', '0x180000')
('STREAM_A_LPE_AUD_HDMIW_INFOFR',	'0x65068', '0x180000')
