('DPFLIPSTAT',			'0x70028', '0x180000')
('DPIO_BONUS2',			'0x64140', '0x180000')
('DPIO_BONUS0_READ_BACK',	'0x64144', '0x180000')
('DPIO_BONUS1_READ_BACK',	'0x64148', '0x180000')
('DPIO_BONUS2_READ_BACK',	'0x6414C', '0x180000')

('DPA_PIX_GEN_CTRL',		'0x61198', '0x180000')
('DPA_PROG_PIXEL_DATA_1',	'0x6119C', '0x180000')
('DPA_PROG_PIXEL_DATA_2',	'0x611A0', '0x180000')
('DPA_PROG_PIXEL_DATA_3',	'0x611A4', '0x180000')
('DPA_PROG_PIXEL_DATA_4',	'0x611A8', '0x180000')

('DPB_PIX_GEN_CTRL',		'0x611B0', '0x180000')
('DPB_PROG_PIXEL_DATA_1',	'0x611B4', '0x180000')
('DPB_PROG_PIXEL_DATA_2',	'0x611B8', '0x180000')
('DPB_PROG_PIXEL_DATA_3',	'0x611BC', '0x180000')
('DPB_PROG_PIXEL_DATA_4',	'0x611C0', '0x180000')

('DPC_PIX_GEN_CTRL',		'0x611D0', '0x180000')
('DPC_PROG_PIXEL_DATA_1',	'0x611D4', '0x180000')
('DPC_PROG_PIXEL_DATA_2',	'0x611D8', '0x180000')
('DPC_PROG_PIXEL_DATA_3',	'0x611DC', '0x180000')
('DPC_PROG_PIXEL_DATA_4',	'0x611E0', '0x180000')

('AUD_VID_DID',				'0x62020', '0x180000')
('AUD_RID',				'0x62024', '0x180000')
('AUD_PWRST',				'0x6204C', '0x180000')
('AUD_PORT_EN_HD_CFG',			'0x6207C', '0x180000')
('AUD_OUT_CH_STR',			'0x62088', '0x180000')
('AUD_PINW_CONNLNG_LIST',		'0x620A8', '0x180000')
('AUD_PINW_CONNLNG_SEL',		'0x620AC', '0x180000')
('AUD_CNTL_ST2',			'0x620C0', '0x180000')
('AUD_HDMIW_STATUS',			'0x620D4', '0x180000')
('AUD_SSID_DBG',			'0x62F00', '0x180000')
('AUD_PWST1_DBG',			'0x62F04', '0x180000')
('AUD_PWST2_DBG',			'0x62F14', '0x180000')
('AUD_PORT_EN_B_DBG',			'0x62F20', '0x180000')
('AUD_PWST3_DBG',			'0x62F24', '0x180000')
('AUD_PORT_EN_C_DBG',			'0x62F28', '0x180000')
('AUD_PORT_EN_D_DBG',			'0x62F2C', '0x180000')
('AUD_CHICKENBIT',			'0x62F38', '0x180000')
('AUD_CNTL_ST_B_DBG',			'0x62F60', '0x180000')
('AUD_HDMIW_INFOFR_B_DBG',		'0x62F64', '0x180000')
('AUD_CNTL_ST_C_DBG',			'0x62F70', '0x180000')
('AUD_HDMIW_INFOFR_C_DBG',		'0x62F74', '0x180000')
('AUD_CNTL_ST_D_DBG',			'0x62F80', '0x180000')
('AUD_HDMIW_INFOFR_D_DBG',		'0x62F84', '0x180000')
('AUD_CONFIG_DEFAULT2_REG_PORTB',	'0x62F88', '0x180000')
('AUD_CONFIG_DEFAULT2_REG_PORTC',	'0x62F8C', '0x180000')
('AUD_CONFIG_DEFAULT2_REG_PORTD',	'0x62F90', '0x180000')
('AUD_MCTSA',				'0x62F94', '0x180000')
('AUD_MCTSB',				'0x62F98', '0x180000')
('AUD_MCTSC',				'0x62F9C', '0x180000')
