('PLL1_DW0',		'0x8000', 'DPIO')
('REF_DW6',		'0x80B8', 'DPIO')
('REF_DW7',		'0x80BC', 'DPIO')
('REF_DW8',		'0x80C0', 'DPIO')
('REF_DW9',		'0x80C4', 'DPIO')
('REF_DW10',		'0x80C8', 'DPIO')
('REF_DW11',		'0x80CC', 'DPIO')
('REF_DW12',		'0x80D0', 'DPIO')
('REF_DW13',		'0x80D4', 'DPIO')
('REF_DW14',		'0x80D8', 'DPIO')
('REF_DW15',		'0x80DC', 'DPIO')
('CL_DW0',		'0x8100', 'DPIO')
('CL_DW1',		'0x8104', 'DPIO')
('CL_DW2',		'0x8108', 'DPIO')
('CL_DW3',		'0x810C', 'DPIO')
('CL_DW4',		'0x8110', 'DPIO')
('CL_DW5',		'0x8114', 'DPIO')
('CL_DW6',		'0x8118', 'DPIO')
('CL_DW7',		'0x811C', 'DPIO')
('CL_DW8',		'0x8120', 'DPIO')
('CL_DW9',		'0x8124', 'DPIO')
('CL_DW10',		'0x8128', 'DPIO')
('CL_DW11',		'0x812C', 'DPIO')
('CL_DW12',		'0x8130', 'DPIO')
('CL_DW13',		'0x8134', 'DPIO')
('CL_DW14',		'0x8138', 'DPIO')
('CL_DW15',		'0x813C', 'DPIO')
('CL_DW16',		'0x8140', 'DPIO')
('CL_DW17',		'0x8144', 'DPIO')
('CL_DW18',		'0x8148', 'DPIO')
('CL_DW19',		'0x814C', 'DPIO')
('CL_DW20',		'0x8150', 'DPIO')
('CL_DW21',		'0x8154', 'DPIO')
('CL_DW22',		'0x8158', 'DPIO')
('CL_DW23',		'0x815C', 'DPIO')
('CL_DW24',		'0x8160', 'DPIO')
('CL_DW25',		'0x8164', 'DPIO')
('CL_DW26',		'0x8168', 'DPIO')
('CL_DW27',		'0x816C', 'DPIO')
('CL_DW28',		'0x8170', 'DPIO')
('CL_DW29',		'0x8174', 'DPIO')
('CL_DW30',		'0x8178', 'DPIO')
('CL_DW31',		'0x817C', 'DPIO')
('PCS01_CH0_DW0',	'0x0200', 'DPIO')
('PCS01_CH0_DW1',	'0x0204', 'DPIO')
('PCS01_CH0_DW2',	'0x0208', 'DPIO')
('PCS01_CH0_DW3',	'0x020C', 'DPIO')
('PCS01_CH0_DW4',	'0x0210', 'DPIO')
('PCS01_CH0_DW5',	'0x0214', 'DPIO')
('PCS01_CH0_DW6',	'0x0218', 'DPIO')
('PCS01_CH0_DW7',	'0x021C', 'DPIO')
('PCS01_CH0_DW8',	'0x0220', 'DPIO')
('PCS01_CH0_DW9',	'0x0224', 'DPIO')
('PCS01_CH0_DW10',	'0x0228', 'DPIO')
('PCS01_CH0_DW11',	'0x022C', 'DPIO')
('PCS01_CH0_DW12',	'0x0230', 'DPIO')
('PCS01_CH0_DW13',	'0x0234', 'DPIO')
('PCS01_CH0_DW14',	'0x0238', 'DPIO')
('PCS01_CH0_DW15',	'0x023C', 'DPIO')
('PCS01_CH0_DW16',	'0x0240', 'DPIO')
('PCS01_CH0_DW17',	'0x0244', 'DPIO')
('PCS01_CH0_DW18',	'0x0248', 'DPIO')
('PCS01_CH0_DW19',	'0x024C', 'DPIO')
('PCS01_CH0_DW20',	'0x0250', 'DPIO')
('PCS01_CH0_DW21',	'0x0254', 'DPIO')
('PCS01_CH0_DW22',	'0x0258', 'DPIO')
('PCS01_CH0_DW23',	'0x025C', 'DPIO')
('PCS01_CH0_DW24',	'0x0260', 'DPIO')
('TX0_CH0_DW0',		'0x0080', 'DPIO')
('TX0_CH0_DW1',		'0x0084', 'DPIO')
('TX0_CH0_DW2',		'0x0088', 'DPIO')
('TX0_CH0_DW3',		'0x008C', 'DPIO')
('TX0_CH0_DW4',		'0x0090', 'DPIO')
('TX0_CH0_DW5',		'0x0094', 'DPIO')
('TX0_CH0_DW6',		'0x0098', 'DPIO')
('TX0_CH0_DW7',		'0x009C', 'DPIO')
('TX0_CH0_DW8',		'0x00A0', 'DPIO')
('TX0_CH0_DW9',		'0x00A4', 'DPIO')
('TX0_CH0_DW10',	'0x00A8', 'DPIO')
('TX0_CH0_DW11',	'0x00AC', 'DPIO')
('TX0_CH0_DW12',	'0x00B0', 'DPIO')
('TX0_CH0_DW13',	'0x00B4', 'DPIO')
('TX0_CH0_DW14',	'0x00B8', 'DPIO')
('TX0_CH0_DW15',	'0x00BC', 'DPIO')
('TX0_CH0_DW16',	'0x00C0', 'DPIO')
('TX1_CH0_DW0',		'0x0280', 'DPIO')
('TX1_CH0_DW1',		'0x0284', 'DPIO')
('TX1_CH0_DW2',		'0x0288', 'DPIO')
('TX1_CH0_DW3',		'0x028C', 'DPIO')
('TX1_CH0_DW4',		'0x0290', 'DPIO')
('TX1_CH0_DW5',		'0x0294', 'DPIO')
('TX1_CH0_DW6',		'0x0298', 'DPIO')
('TX1_CH0_DW7',		'0x029C', 'DPIO')
('TX1_CH0_DW8',		'0x02A0', 'DPIO')
('TX1_CH0_DW9',		'0x02A4', 'DPIO')
('TX1_CH0_DW10',	'0x02A8', 'DPIO')
('TX1_CH0_DW11',	'0x02AC', 'DPIO')
('TX1_CH0_DW12',	'0x02B0', 'DPIO')
('TX1_CH0_DW13',	'0x02B4', 'DPIO')
('TX1_CH0_DW14',	'0x02B8', 'DPIO')
('TX1_CH0_DW15',	'0x02BC', 'DPIO')
('TX1_CH0_DW16',	'0x02C0', 'DPIO')
('PCS23_CH0_DW0',	'0x0400', 'DPIO')
('PCS23_CH0_DW1',	'0x0404', 'DPIO')
('PCS23_CH0_DW2',	'0x0408', 'DPIO')
('PCS23_CH0_DW3',	'0x040C', 'DPIO')
('PCS23_CH0_DW4',	'0x0410', 'DPIO')
('PCS23_CH0_DW5',	'0x0414', 'DPIO')
('PCS23_CH0_DW6',	'0x0418', 'DPIO')
('PCS23_CH0_DW7',	'0x041C', 'DPIO')
('PCS23_CH0_DW8',	'0x0420', 'DPIO')
('PCS23_CH0_DW9',	'0x0424', 'DPIO')
('PCS23_CH0_DW10',	'0x0428', 'DPIO')
('PCS23_CH0_DW11',	'0x042C', 'DPIO')
('PCS23_CH0_DW12',	'0x0430', 'DPIO')
('PCS23_CH0_DW13',	'0x0434', 'DPIO')
('PCS23_CH0_DW14',	'0x0438', 'DPIO')
('PCS23_CH0_DW15',	'0x043C', 'DPIO')
('PCS23_CH0_DW16',	'0x0440', 'DPIO')
('PCS23_CH0_DW17',	'0x0444', 'DPIO')
('PCS23_CH0_DW18',	'0x0448', 'DPIO')
('PCS23_CH0_DW19',	'0x044C', 'DPIO')
('PCS23_CH0_DW20',	'0x0450', 'DPIO')
('PCS23_CH0_DW21',	'0x0454', 'DPIO')
('PCS23_CH0_DW22',	'0x0458', 'DPIO')
('PCS23_CH0_DW23',	'0x045C', 'DPIO')
('PCS23_CH0_DW24',	'0x0460', 'DPIO')
('TX2_CH0_DW0',		'0x0480', 'DPIO')
('TX2_CH0_DW1',		'0x0484', 'DPIO')
('TX2_CH0_DW2',		'0x0488', 'DPIO')
('TX2_CH0_DW3',		'0x048C', 'DPIO')
('TX2_CH0_DW4',		'0x0490', 'DPIO')
('TX2_CH0_DW5',		'0x0494', 'DPIO')
('TX2_CH0_DW6',		'0x0498', 'DPIO')
('TX2_CH0_DW7',		'0x049C', 'DPIO')
('TX2_CH0_DW8',		'0x04A0', 'DPIO')
('TX2_CH0_DW9',		'0x04A4', 'DPIO')
('TX2_CH0_DW10',	'0x04A8', 'DPIO')
('TX2_CH0_DW11',	'0x04AC', 'DPIO')
('TX2_CH0_DW12',	'0x04B0', 'DPIO')
('TX2_CH0_DW13',	'0x04B4', 'DPIO')
('TX2_CH0_DW14',	'0x04B8', 'DPIO')
('TX2_CH0_DW15',	'0x04BC', 'DPIO')
('TX2_CH0_DW16',	'0x04C0', 'DPIO')
('TX3_CH0_DW0',		'0x0680', 'DPIO')
('TX3_CH0_DW1',		'0x0684', 'DPIO')
('TX3_CH0_DW2',		'0x0688', 'DPIO')
('TX3_CH0_DW3',		'0x068C', 'DPIO')
('TX3_CH0_DW4',		'0x0690', 'DPIO')
('TX3_CH0_DW5',		'0x0694', 'DPIO')
('TX3_CH0_DW6',		'0x0698', 'DPIO')
('TX3_CH0_DW7',		'0x069C', 'DPIO')
('TX3_CH0_DW8',		'0x06A0', 'DPIO')
('TX3_CH0_DW9',		'0x06A4', 'DPIO')
('TX3_CH0_DW10',	'0x06A8', 'DPIO')
('TX3_CH0_DW11',	'0x06AC', 'DPIO')
('TX3_CH0_DW12',	'0x06B0', 'DPIO')
('TX3_CH0_DW13',	'0x06B4', 'DPIO')
('TX3_CH0_DW14',	'0x06B8', 'DPIO')
('TX3_CH0_DW15',	'0x06BC', 'DPIO')
('TX3_CH0_DW16',	'0x06C0', 'DPIO')
