('PIPEB_DSL',			'0x71000', '0x180000')
('VTOTAL_B',			'0x6100C', '0x180000')
('VBLANK_B',			'0x61010', '0x180000')
('VSYNC_B',			'0x61014', '0x180000')
('PIPEBSRC',			'0x6101C', '0x180000')
('BCLRPAT_B',			'0x61020', '0x180000')
('VSYNCSHIFT_B',		'0x61028', '0x180000')

('TRANSB_DATA_M1',		'0x61030', '0x180000')
('TRANSB_DATA_N1',		'0x61034', '0x180000')
('TRANSB_DATA_M2',		'0x61038', '0x180000')
('TRANSB_DATA_N2',		'0x6103C', '0x180000')
('TRANSB_LINK_M1',		'0x61040', '0x180000')
('TRANSB_LINK_N1',		'0x61044', '0x180000')
('TRANSB_LINK_M2',		'0x61048', '0x180000')
('TRANSB_LINK_N2',		'0x6104C', '0x180000')

('CRC_CTRL_RED_B',		'0x61050', '0x180000')
('CRC_CTRL_GREEN_B',		'0x61054', '0x180000')
('CRC_CTRL_BLUE_B',		'0x61058', '0x180000')
('CRC_CTRL_ALPHA_B',		'0x6105C', '0x180000')
('CRC_CTRL_RESIDUE2_B',		'0x61070', '0x180000')
('CRC_RES_RED_B',		'0x61060', '0x180000')
('CRC_RES_GREEN_B',		'0x61064', '0x180000')
('CRC_RES_BLUE_V',		'0x61068', '0x180000')
('CRC_RES_ALPHAB',		'0x6106C', '0x180000')
('CRC_RES_RESIDUAL2_B',		'0x61080', '0x180000')

('PSRCTLB',			'0x61090', '0x180000')
('PSRSTATB',			'0x61094', '0x180000')
('PSRCRC1B',			'0x61098', '0x180000')
('PSRCRC2B',			'0x6109C', '0x180000')
('VSCSDPB',			'0x610A0', '0x180000')

('PIPEB_WGCC_C01_C00',		'0x610B0', '0x180000')
('PIPEB_WGCC_C02',		'0x610B4', '0x180000')
('PIPEB_WGCC_C11_C10',		'0x610B8', '0x180000')
('PIPEB_WGCC_C12',		'0x610BC', '0x180000')
('PIPEB_WGCC_C21_C20',		'0x610C0', '0x180000')
('PIPEB_WGCC_C22',		'0x610C4', '0x180000')

('VIDEO_DIP_CTL_B',		'0x61170', '0x180000')
('VIDEO_DIP_DATA_B',		'0x61174', '0x180000')
('VIDEO_DIP_GDCP_PAYLOAD_B',	'0x61178', '0x180000')

('PIPEB_CGM_DEGAMMA',		'0x68000', '0x180000')
('PIPEB_CGM_GAMMA',		'0x69000', '0x180000')
('PIPEB_CGM_CSC_COEFF01',	'0x69900', '0x180000')
('PIPEB_CGM_CSC_COEFF23',	'0x69904', '0x180000')
('PIPEB_CGM_CSC_COEFF45',	'0x69908', '0x180000')
('PIPEB_CGM_CSC_COEFF67',	'0x6990C', '0x180000')
('PIPEB_CGM_CSC_COEFF8',	'0x69910', '0x180000')
('PIPEB_CGM_CONTROL',		'0x69A00', '0x180000')

('PIPEB_PP_STATUS',		'0x61300', '0x180000')
('PIPEB_PP_CONTROL',		'0x61304', '0x180000')
('PIPEB_PP_ON_DELAYS',		'0x61308', '0x180000')
('PIPEB_PP_OFF_DELAYS',		'0x6130C', '0x180000')
('PIPEB_PP_DIVISOR',		'0x61310', '0x180000')

('PIPEB_BLC_PWM_CLT2',		'0x61350', '0x180000')
('PIPEB_BLC_PWM_CTL',		'0x61354', '0x180000')
('PIPEB_BLM_HIST_CTL',		'0x61360', '0x180000')
('PIPEB_IMG_ENH_BIN_DATA',	'0x61364', '0x180000')
('PIPEB_HIST_THRESH_GUARD',	'0x61368', '0x180000')

('AUD_CONFIG_B',		'0x62100', '0x180000')
('AUD_MISC_CTRL_B',		'0x62110', '0x180000')
('AUD_CTS_ENABLE_B',		'0x62128', '0x180000')
('AUD_HDMIW_HDMIEDID_B',	'0x62150', '0x180000')
('AUD_HDMIW_INFOFR_B',		'0x62154', '0x180000')
('AUD_OUT_DIG_CNVT_B',		'0x62180', '0x180000')
('AUD_OUT_STR_DESC_B',		'0x62184', '0x180000')
('AUD_CNTL_ST_B',		'0x621B4', '0x180000')
('AUD_OUT_DIG_CNVTB_DBG',	'0x62F44', '0x180000')

('STREAM_B_LPE_AUD_CONFIG',		'0x65800', '0x180000')
('STREAM_B_LPE_AUD_CH_STATUS_0',	'0x65808', '0x180000')
('STREAM_B_LPE_AUD_CH_STATUS_1',	'0x6580C', '0x180000')
('STREAM_B_LPE_AUD_HDMI_CTS_DP_MAUD',	'0x65810', '0x180000')
('STREAM_B_LPE_AUD_HDMI_N_DP_NAUD',	'0x65814', '0x180000')
('STREAM_B_LPE_AUD_BUFFER_CONFIG',	'0x65820', '0x180000')
('STREAM_B_LPE_AUD_BUF_CH_SWP',		'0x65824', '0x180000')
('STREAM_B_LPE_AUD_BUF_A_ADDR',		'0x65840', '0x180000')
('STREAM_B_LPE_AUD_BUF_A_LENGTH',	'0x65844', '0x180000')
('STREAM_B_LPE_AUD_BUF_B_ADDR',		'0x65848', '0x180000')
('STREAM_B_LPE_AUD_BUF_B_LENGTH',	'0x6584C', '0x180000')
('STREAM_B_LPE_AUD_BUF_C_ADDR',		'0x65850', '0x180000')
('STREAM_B_LPE_AUD_BUF_C_LENGTH',	'0x65854', '0x180000')
('STREAM_B_LPE_AUD_BUF_D_ADDR',		'0x65858', '0x180000')
('STREAM_B_LPE_AUD_BUF_D_LENGTH',	'0x6585C', '0x180000')
('STREAM_B_LPE_AUD_CNTL_ST',		'0x65860', '0x180000')
('STREAM_B_LPE_AUD_HDMI_STATUS',	'0x65864', '0x180000')
('STREAM_B_LPE_AUD_HDMIW_INFOFR',	'0x65868', '0x180000')
